H0319,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,5,Not enough data available,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0320,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",3,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0321,Local CCP,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",3,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0332,Local CCP,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,"Kelsey-Seybold Medical Group, PLLC",5,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0336,Demo,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0351,Local CCP,"HEALTH NET OF ARIZONA, INC.","Health Net of Arizona, Inc.","Health Net, Inc.",3,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0354,Local CCP,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna HealthCare of Arizona,CIGNA,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0408,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0423,Local CCP,"METROPLUS HEALTH PLAN, INC.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,4,3,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0435,Local CCP,"GLOBALHEALTH, INC.",GLOBALHEALTH MEDICARE,"The Oklahoma City Clinic, P.C.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0439,Local CCP,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna-HealthSpring,CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0480,Demo,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",Meridian Complete,"Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0490,Local CCP,"MOLINA HEALTHCARE OF OHIO, INC.",Molina Healthcare of Ohio,"Molina Healthcare, Inc.,",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0502,1876 Cost,THE CONTRA COSTA HEALTH PLAN,Contra Costa Health Plan,Contra Costa Health Services,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0504,Local CCP,CALIFORNIA PHYSICIANS' SERVICE,Blue Shield of California,California Physicians' Service,4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0523,Local CCP,AETNA HEALTH OF CALIFORNIA INC.,Aetna Medicare,Aetna Inc.,4,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0524,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0543,Local CCP,"UHC OF CALIFORNIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0544,Local CCP,CAREMORE HEALTH PLAN,CareMore Health Plan,"WellPoint, Inc.",4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0545,Local CCP,"INTER VALLEY HEALTH PLAN, INC.",Inter Valley Health Plan,InterValley Health Plan,4,3,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0562,Local CCP,"HEALTH NET OF CALIFORNIA,INC.",Health Net of California,"Health Net, Inc.",4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0564,Local CCP,BLUE CROSS OF CALIFORNIA,Anthem Blue Cross,"WellPoint, Inc.",4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0571,Local CCP,CHINESE COMMUNITY HEALTH PLAN,Chinese Community Health Plan,Chinese Hospital Association,4,4,3,4,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0602,1876 Cost,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,Rocky Mountain Health Plans,"Rocky Mountain HMO, Inc.",4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0609,Local CCP,"PACIFICARE OF COLORADO, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0620,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2,4,Not enough data available,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0621,Local CCP,COLORADO ACCESS,Colorado Access Advantage,Colorado Access,3,3,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0624,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0630,Local CCP,KAISER FOUNDATION HP OF CO,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0657,1876 Cost,COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,Colorado Choice Health Plans,Not enough data available,Not enough data available,3,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0710,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,Not enough data available,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0712,Local CCP,"WELLCARE OF CONNECTICUT, INC.",WellCare,"WellCare Health Plans, Inc.",3,3,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0755,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0773,Demo,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Connect,Health Alliance Medical Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0811,Demo,"GUILDNET, INC.",GuildNet Gold Plus,Jewish Guild Healthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0838,Local CCP,"UNIVERSAL CARE, INC.",Brand New Day,"Universal Care, Inc",3,3,2,3,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0840,Local CCP,"FAMILYCARE HEALTH PLANS, INC.","FamilyCare Health Plans, Inc.",FamilyCare Incorporated,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0879,Local CCP,CRESTPOINT HEALTH INSURANCE COMPANY,CrestPoint Health Insurance Company,Mountain States Health Alliance,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0901,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0908,Local CCP,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Advantage by Buckeye Community Health Plan,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,2,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0913,Local CCP,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",WellCare,"WellCare Health Plans, Inc.",3,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0927,Demo,HEALTH CARE SERVICE CORPORATION,Blue Cross Blue Shield of IL,Health Care Service Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0979,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",3,3,4,3,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1013,Local CCP,"COVENTRY HEALTH PLAN OF FLORIDA, INC.",Coventry Health Plan of Florida,Aetna Inc.,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1016,Local CCP,"AVMED, INC.",AvMed Medicare,"AvMed, Inc.",4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1019,Local CCP,"CAREPLUS HEALTH PLANS, INC.","CarePlus Health Plans, Inc.",Humana Inc.,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1026,Local CCP,"HEALTH OPTIONS, INC.",Florida Blue HMO,Blue Cross and Blue Shield of Florida,3,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1032,Local CCP,"WELLCARE OF FLORIDA, INC.",WellCare,"WellCare Health Plans, Inc.",4,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1035,Local CCP,"FLORIDA HEALTH CARE PLAN, INC.","Florida Health Care Plan, Inc.",Blue Cross and Blue Shield of Florida,4,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1036,Local CCP,"HUMANA MEDICAL PLAN, INC.","Humana Medical Plan, Inc.",Humana Inc.,4,4,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1045,Local CCP,PREFERRED CARE PARTNERS INC.,"Preferred Care Partners, Inc.","UnitedHealth Group, Inc.",4,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1076,Local CCP,"COVENTRY HEALTH CARE OF FLORIDA, INC.",Coventry Health Care of Florida,Aetna Inc.,4,4,4,4,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1080,Local CCP,"UNITEDHEALTHCARE OF FLORIDA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1099,Local CCP,HEALTH FIRST HEALTH PLANS,"Health First Health Plans, Inc.",Health First,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1108,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1109,Local CCP,AETNA HEALTH INC.(GEORGIA),Aetna Medicare,Aetna Inc.,4,4,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1110,Local CCP,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Inc.,4,4,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1111,Local CCP,"UNITEDHEALTHCARE OF GEORGIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1112,Local CCP,"WELLCARE OF GEORGIA, INC.",WellCare,"WellCare Health Plans, Inc.",3,3,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1170,Local CCP,"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1216,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",3,3,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1230,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",4,4,5,4,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1237,Demo,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1264,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",3,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1286,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1291,PFFS,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1302,Local CCP,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1303,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1304,Local CCP,REGENCE BLUE SHIELD OF IDAHO,Regence BlueShield Of Idaho,"Cambia Health Solutions, Inc.",3,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1350,Local CCP,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.",Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",3,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1365,Local CCP,"MARTIN'S POINT GENERATIONS, LLC",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",4,3,4,3,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1367,Local CCP,"AMERIHEALTH OF LOUISIANA, INC.",AmeriHealth Caritas VIP Plans,Independence Blue Cross,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1406,Local CCP,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,4,3,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1415,Local CCP,"HEALTHSPRING OF TENNESSEE, INC.",Cigna-HealthSpring,CIGNA,4,3,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1416,Local CCP,"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",3,3,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1417,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,4,4,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1418,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1419,Local CCP,"AETNA HEALTH,  INC. (PA)",Aetna Medicare,Aetna Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1444,Local CCP,"TOTAL HEALTH CARE, INC.",Total Medicare Plus,"Total Health Care, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1463,Local CCP,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,Health Alliance Medical Plans,4,4,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1468,Local CCP,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana Benefit Plan of Illinois, Inc.",Humana Inc.,4,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1509,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1510,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,3,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1517,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",3,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1523,Demo,"UNITEDHEALTHCARE OF NEW YORK, INC.","UNITED HEALTHCARE OF NEW YORK, INC","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1537,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1595,Local CCP,HEALTHPLUS INSURANCE COMPANY,HealthPlus,HealthPlus of Michigan,4,4,5,3,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1607,Local CCP,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,"WellPoint, Inc.",3,3,3,4,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1608,Local CCP,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Aetna Inc.,3,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1609,Local CCP,"COVENTRY HEALTH CARE OF IOWA, INC.",Coventry Health Care,Aetna Inc.,4,4,5,3,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1651,1876 Cost,"MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Health Plan, Inc.","Medical Associates Clinic, P.C.",4,4,5,5,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1659,Local CCP,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Medicare Advantage,Piedmont Community Health Plan,Not enough data available,Not enough data available,4,4,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1660,Local CCP,HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.","Harvard Pilgrim Health Care, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1666,Local CCP,HCSC INSURANCE SERVICES COMPANY,Blue Cross Blue Shield of Texas,Health Care Service Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1681,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,2,3,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1692,Local CCP,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.",Coventry Health Care of West Virginia,Aetna Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1716,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,4,3,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1717,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2,3,Not enough data available,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1723,Demo,"ABSOLUTE TOTAL CARE, INC.","Absolute Total Care, Inc.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1737,Local CCP,"HEALTH ALLIANCE - MIDWEST, INC.",Health Alliance Medicare,Health Alliance Medical Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
