2014 Data View: Medicare Part C Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,"HD4: Member Complaints, Problems Getting Services, and Improvement in the Health Plan's Performance",,,,HD5: Health Plan Customer Service,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Cardiovascular Care – Cholesterol Screening,C04: Diabetes Care – Cholesterol Screening,C05: Glaucoma Testing,C06: Annual Flu Vaccine,C07: Improving or Maintaining Physical Health,C08: Improving or Maintaining Mental Health,C09: Monitoring Physical Activity,C10: Adult BMI Assessment,C11: Care for Older Adults – Medication Review,C12: Care for Older Adults – Functional Status Assessment,C13: Care for Older Adults – Pain Screening,C14: Osteoporosis Management in Women who had a Fracture,C15: Diabetes Care – Eye Exam,C16: Diabetes Care – Kidney Disease Monitoring,C17: Diabetes Care – Blood Sugar Controlled,C18: Diabetes Care – Cholesterol Controlled,C19: Controlling Blood Pressure,C20: Rheumatoid Arthritis Management,C21: Improving Bladder Control,C22: Reducing the Risk of Falling,C23: Plan All-Cause Readmissions,C24: Getting Needed Care,C25: Getting Appointments and Care Quickly,C26: Customer Service,C27: Rating of Health Care Quality,C28: Rating of Health Plan,C29: Care Coordination,C30: Complaints about the Health Plan,C31: Beneficiary Access and Performance Problems,C32: Members Choosing to Leave the Plan,C33: Health Plan Quality Improvement,C34: Plan Makes Timely Decisions about Appeals,C35: Reviewing Appeals Decisions,C36: Call Center – Foreign Language Interpreter and TTY Availability
H0147,Demo,"HEALTHKEEPERS, INC.",Anthem HealthKeepers,"WellPoint, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0148,Demo,CARE1ST HEALTH PLAN,Care1st Health Plan,Care1st Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0150,Local CCP,"HEALTHSPRING OF ALABAMA, INC.",Cigna-HealthSpring,CIGNA,80%,78%,94%,94%,79%,68%,64%,74%,44%,94%,89%,90%,89%,59%,73%,97%,81%,58%,65%,79%,34%,60%,12%,86%,74%,92%,88%,88%,87%,0.14,80,8%,Medicare shows only a Star Rating for this topic,97%,98%,96%
H0151,Local CCP,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",59%,58%,87%,83%,56%,64%,67%,77%,42%,69%,74%,21%,36%,12%,49%,87%,65%,46%,55%,75%,36%,58%,11%,88%,72%,85%,85%,86%,87%,0.22,0,8%,Medicare shows only a Star Rating for this topic,89%,94%,96%
H0154,Local CCP,"VIVA HEALTH, INC.",VIVA Medicare,UAB Health System,70%,68%,90%,87%,68%,67%,67%,76%,46%,88%,95%,92%,82%,33%,62%,90%,76%,53%,71%,80%,31%,63%,13%,87%,72%,91%,86%,90%,85%,0.10,80,7%,Medicare shows only a Star Rating for this topic,68%,84%,100%
H0192,Demo,"AMERIHEALTH MICHIGAN, INC.",Amerihealth VIP Care Plus,Independence Blue Cross,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0248,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,68%,59%,87%,91%,73%,72%,69%,72%,56%,78%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,16%,69%,91%,66%,50%,60%,63%,32%,57%,12%,85%,75%,82%,85%,82%,86%,0.69,100,34%,Medicare shows only a Star Rating for this topic,96%,Not enough data available,96%
H0251,Local CCP,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",53%,44%,81%,86%,46%,59%,74%,79%,41%,76%,77%,25%,40%,20%,46%,86%,68%,42%,57%,62%,30%,66%,13%,90%,74%,90%,86%,88%,86%,0.27,0,11%,Medicare shows only a Star Rating for this topic,60%,63%,95%
H0281,Demo,ILLINICARE HEALTH PLAN,IlliniCare Health Plan,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0294,Local CCP,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.65,80,Not enough data available,Not enough data available,Not enough data available,Not enough data available,92%
H0302,Local CCP,"MEDISUN, INC.",Blue Cross Blue Shield of Arizona Advantage,"Veritage, LLC",78%,79%,91%,93%,65%,74%,67%,78%,49%,96%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,24%,53%,91%,86%,60%,67%,73%,35%,57%,11%,85%,75%,87%,84%,86%,85%,0.08,80,6%,Medicare shows only a Star Rating for this topic,98%,89%,99%
H0303,Local CCP,"PACIFICARE OF ARIZONA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",67%,65%,85%,87%,63%,66%,61%,83%,47%,83%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,19%,58%,91%,79%,60%,65%,76%,34%,57%,12%,83%,72%,88%,84%,83%,82%,0.19,0,7%,Medicare shows only a Star Rating for this topic,84%,90%,94%
H0316,Local CCP,"UNITEDHEALTHCARE OF ARIZONA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",67%,56%,85%,83%,56%,68%,69%,77%,48%,76%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,19%,56%,86%,76%,52%,67%,81%,33%,54%,10%,85%,75%,86%,84%,83%,84%,0.26,0,13%,Medicare shows only a Star Rating for this topic,89%,95%,96%
H0317,Local CCP,HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,66%,56%,88%,87%,65%,68%,66%,79%,49%,83%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,23%,58%,88%,75%,53%,62%,80%,33%,47%,12%,85%,75%,86%,84%,84%,81%,0.36,100,16%,Medicare shows only a Star Rating for this topic,98%,74%,96%
H0318,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,70%,61%,97%,89%,64%,69%,65%,81%,51%,71%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,62%,92%,81%,58%,63%,Not enough data available,41%,49%,15%,85%,76%,88%,85%,83%,85%,0.63,20,13%,Medicare shows only a Star Rating for this topic,Not enough data available,Not enough data available,95%
H0319,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",31%,22%,Not enough data available,89%,81%,Plan too small to be measured,Not enough data available,Not enough data available,33%,99%,97%,100%,97%,Not enough data available,91%,92%,90%,63%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,6%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.17,0,4%,Medicare shows only a Star Rating for this topic,100%,Not enough data available,92%
H0320,Local CCP,"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",65%,41%,84%,85%,45%,55%,65%,78%,42%,76%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,8%,42%,85%,71%,37%,61%,65%,38%,48%,14%,80%,69%,84%,79%,74%,81%,2.03,80,19%,Medicare shows only a Star Rating for this topic,93%,71%,89%
H0321,Local CCP,"ARIZONA PHYSICIANS IPA, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",59%,56%,86%,85%,60%,64%,72%,80%,48%,81%,58%,22%,56%,26%,67%,88%,71%,46%,60%,72%,31%,63%,12%,87%,72%,86%,87%,90%,84%,0.26,0,7%,Medicare shows only a Star Rating for this topic,96%,66%,95%
H0332,Local CCP,"KS PLAN ADMINISTRATORS, LLC",KelseyCare Advantage,"Kelsey-Seybold Medical Group, PLLC",86%,81%,97%,96%,86%,82%,69%,75%,64%,99%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,38%,86%,98%,88%,67%,73%,80%,37%,62%,10%,89%,80%,92%,90%,92%,88%,0.10,80,10%,Medicare shows only a Star Rating for this topic,96%,94%,95%
H0336,Demo,"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0351,Local CCP,"HEALTH NET OF ARIZONA, INC.","Health Net of Arizona, Inc.","Health Net, Inc.",72%,63%,87%,90%,60%,71%,66%,77%,49%,87%,99%,82%,89%,31%,64%,94%,82%,62%,70%,76%,38%,62%,12%,85%,75%,87%,85%,84%,84%,0.23,80,12%,Medicare shows only a Star Rating for this topic,90%,79%,88%
H0354,Local CCP,"CIGNA HEALTHCARE OF ARIZONA, INC.",Cigna HealthCare of Arizona,CIGNA,82%,73%,96%,96%,75%,72%,68%,75%,49%,99%,93%,83%,92%,36%,82%,96%,91%,62%,81%,81%,41%,58%,13%,87%,78%,90%,88%,89%,86%,0.17,80,4%,Medicare shows only a Star Rating for this topic,98%,97%,89%
H0408,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,0,Not enough data available,Not enough data available,Not enough data available,Not enough data available,92%
H0423,Local CCP,"METROPLUS HEALTH PLAN, INC.",MetroPlus Health Plan,New York City Health and Hospitals Corporation,83%,71%,93%,90%,75%,70%,70%,80%,58%,83%,69%,46%,71%,Not enough data available,70%,92%,77%,51%,65%,75%,37%,68%,15%,80%,69%,84%,80%,84%,83%,0.20,10,16%,Medicare shows only a Star Rating for this topic,97%,95%,86%
H0435,Local CCP,"GLOBALHEALTH, INC.",GLOBALHEALTH MEDICARE,"The Oklahoma City Clinic, P.C.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,14%
H0439,Local CCP,"CIGNA HEALTHCARE OF GEORGIA, INC.",Cigna-HealthSpring,CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0480,Demo,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",Meridian Complete,"Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0490,Local CCP,"MOLINA HEALTHCARE OF OHIO, INC.",Molina Healthcare of Ohio,"Molina Healthcare, Inc.,",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,95%
H0502,1876 Cost,THE CONTRA COSTA HEALTH PLAN,Contra Costa Health Plan,Contra Costa Health Services,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,100,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure
H0504,Local CCP,CALIFORNIA PHYSICIANS' SERVICE,Blue Shield of California,California Physicians' Service,76%,71%,94%,91%,62%,73%,66%,73%,50%,80%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,23%,72%,95%,86%,62%,67%,74%,30%,57%,10%,84%,73%,86%,85%,86%,85%,0.23,80,7%,Medicare shows only a Star Rating for this topic,92%,88%,90%
H0523,Local CCP,AETNA HEALTH OF CALIFORNIA INC.,Aetna Medicare,Aetna Inc.,74%,71%,91%,92%,62%,74%,65%,78%,52%,73%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,19%,67%,93%,76%,52%,51%,77%,36%,59%,9%,82%,73%,90%,86%,87%,83%,0.28,20,11%,Medicare shows only a Star Rating for this topic,91%,88%,95%
H0524,Local CCP,"KAISER FOUNDATION HP, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",90%,89%,98%,97%,78%,81%,70%,75%,63%,99%,96%,92%,85%,83%,84%,98%,91%,81%,89%,92%,36%,71%,14%,87%,81%,90%,89%,91%,86%,0.10,80,1%,Medicare shows only a Star Rating for this topic,92%,83%,100%
