H0710,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Yes,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0712,Local CCP,WellCare,"WELLCARE OF CONNECTICUT, INC.","WellCare Health Plans, Inc.",Yes,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0755,Local CCP,UnitedHealthcare,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",No,No,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0773,Demo,Health Alliance Connect,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0811,Demo,GuildNet Gold Plus,"GUILDNET, INC.",Jewish Guild Healthcare,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0838,Local CCP,Brand New Day,"UNIVERSAL CARE, INC.","Universal Care, Inc",Yes,No,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0840,Local CCP,"FamilyCare Health Plans, Inc.","FAMILYCARE HEALTH PLANS, INC.",FamilyCare Incorporated,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0879,Local CCP,CrestPoint Health Insurance Company,CRESTPOINT HEALTH INSURANCE COMPANY,Mountain States Health Alliance,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0901,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,No,No,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0908,Local CCP,Advantage by Buckeye Community Health Plan,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,Yes,No,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0913,Local CCP,WellCare,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.","WellCare Health Plans, Inc.",No,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0927,Demo,Blue Cross Blue Shield of IL,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0979,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",No,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1013,Local CCP,Coventry Health Plan of Florida,"COVENTRY HEALTH PLAN OF FLORIDA, INC.",Aetna Inc.,Yes,No,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1016,Local CCP,AvMed Medicare,"AVMED, INC.","AvMed, Inc.",No,No,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1019,Local CCP,"CarePlus Health Plans, Inc.","CAREPLUS HEALTH PLANS, INC.",Humana Inc.,Yes,No,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1026,Local CCP,Florida Blue HMO,"HEALTH OPTIONS, INC.",Blue Cross and Blue Shield of Florida,No,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1032,Local CCP,WellCare,"WELLCARE OF FLORIDA, INC.","WellCare Health Plans, Inc.",Yes,No,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1035,Local CCP,"Florida Health Care Plan, Inc.","FLORIDA HEALTH CARE PLAN, INC.",Blue Cross and Blue Shield of Florida,Yes,No,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1036,Local CCP,"Humana Medical Plan, Inc.","HUMANA MEDICAL PLAN, INC.",Humana Inc.,Yes,No,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1045,Local CCP,"Preferred Care Partners, Inc.",PREFERRED CARE PARTNERS INC.,"UnitedHealth Group, Inc.",Yes,No,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1076,Local CCP,Coventry Health Care of Florida,"COVENTRY HEALTH CARE OF FLORIDA, INC.",Aetna Inc.,Yes,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1080,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF FLORIDA, INC.","UnitedHealth Group, Inc.",Yes,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1099,Local CCP,"Health First Health Plans, Inc.",HEALTH FIRST HEALTH PLANS,Health First,No,No,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1108,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Yes,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1109,Local CCP,Aetna Medicare,AETNA HEALTH INC.(GEORGIA),Aetna Inc.,No,No,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1110,Local CCP,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,No,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1111,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF GEORGIA, INC.","UnitedHealth Group, Inc.",No,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1112,Local CCP,WellCare,"WELLCARE OF GEORGIA, INC.","WellCare Health Plans, Inc.",Yes,No,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1170,Local CCP,Kaiser Permanente,"KAISER FOUNDATION HP OF GA, INC.","Kaiser Foundation Health Plan, Inc.",Yes,No,4.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1216,Local CCP,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.","WellCare Health Plans, Inc.",Yes,No,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1230,Local CCP,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",No,No,4.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1237,Demo,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1264,Local CCP,WellCare,"WELLCARE OF TEXAS, INC.","WellCare Health Plans, Inc.",Yes,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1286,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",No,No,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1291,PFFS,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,No,No,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1302,Local CCP,Blue Cross of Idaho,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.","Blue Cross of Idaho Health Services, Inc.",No,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1303,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",No,No,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1304,Local CCP,Regence BlueShield Of Idaho,REGENCE BLUE SHIELD OF IDAHO,"Cambia Health Solutions, Inc.",No,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1350,Local CCP,Blue Cross of Idaho,"BLUE CROSS OF IDAHO HEALTH SERVICE, INC.","Blue Cross of Idaho Health Services, Inc.",Yes,No,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1365,Local CCP,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS, LLC","Martin's Point Health Care, Inc.",No,No,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1367,Local CCP,AmeriHealth Caritas VIP Plans,"AMERIHEALTH OF LOUISIANA, INC.",Independence Blue Cross,Yes,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1406,Local CCP,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,Yes,No,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1415,Local CCP,Cigna-HealthSpring,"HEALTHSPRING OF TENNESSEE, INC.",CIGNA,Yes,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1416,Local CCP,WellCare,"HARMONY HEALTH PLAN OF ILLINOIS, INC.","WellCare Health Plans, Inc.",Yes,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1417,Local CCP,Health Alliance Medical Plans,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,No,No,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1418,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,No,No,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1419,Local CCP,Aetna Medicare,"AETNA HEALTH,  INC. (PA)",Aetna Inc.,No,No,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1444,Local CCP,Total Medicare Plus,"TOTAL HEALTH CARE, INC.","Total Health Care, Inc.",Yes,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1463,Local CCP,Health Alliance Medical Plans,HEALTH ALLIANCE MEDICAL PLANS,Health Alliance Medical Plans,No,No,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1468,Local CCP,"Humana Benefit Plan of Illinois, Inc.","HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana Inc.,No,No,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1509,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",No,No,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1510,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,No,No,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1517,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",No,No,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1523,Demo,"UNITED HEALTHCARE OF NEW YORK, INC","UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1537,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,"UnitedHealth Group, Inc.",No,No,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1595,Local CCP,HealthPlus,HEALTHPLUS INSURANCE COMPANY,HealthPlus of Michigan,No,No,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1607,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.","WellPoint, Inc.",No,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1608,Local CCP,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Aetna Inc.,No,No,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1609,Local CCP,Coventry Health Care,"COVENTRY HEALTH CARE OF IOWA, INC.",Aetna Inc.,No,No,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1651,1876 Cost,"Medical Associates Health Plan, Inc.","MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Clinic, P.C.",No,No,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1659,Local CCP,Piedmont Medicare Advantage,"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Community Health Plan,No,No,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1660,Local CCP,"Harvard Pilgrim Health Care, Inc.",HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.",No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1666,Local CCP,Blue Cross Blue Shield of Texas,HCSC INSURANCE SERVICES COMPANY,Health Care Service Corporation,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1681,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,No,No,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1692,Local CCP,Coventry Health Care of West Virginia,"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.",Aetna Inc.,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1716,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,No,No,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1717,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Yes,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1723,Demo,"Absolute Total Care, Inc.","ABSOLUTE TOTAL CARE, INC.",Centene Corporation,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1737,Local CCP,Health Alliance Medicare,"HEALTH ALLIANCE - MIDWEST, INC.",Health Alliance Medical Plans,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1777,Local CCP,"ArchCare Advantage, HMO SNP","CATHOLIC SPECIAL NEEDS PLAN, LLC",Catholic Health Care System,Yes,No,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1846,Local CCP,MediGold,MOUNT CARMEL HEALTH INSURANCE COMPANY,Trinity Health,No,No,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1849,Local CCP,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.","WellPoint, Inc.",No,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1894,Local CCP,AMERIGROUP,"AMERIGROUP WASHINGTON, INC.","WellPoint, Inc.",Yes,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1903,Local CCP,WellCare,"WELLCARE OF LOUISIANA, INC.","WellCare Health Plans, Inc.",Yes,No,3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1906,PFFS,"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.",Humana Inc.,No,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1916,Demo,Fidelis Care,"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.","The New York State Catholic Health Plan, Inc.",No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1944,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",No,No,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
