2011 Data View: Medicare Part C Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Staying Healthy: Screenings, Tests and Vaccines",,,,,,,,,,,,,Managing Chronic (Long Term) Conditions,,,,,,,,,,Ratings of Health Plan Responsiveness and Care,,,,,,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave the Health Plan",,,,Health Plan’s Telephone Customer Service,,
H0154,Local CCP,UAB Health System,VIVA Medicare Plus,67,54,86,84,65,93,60.06,66.55,63,74,64,47,95,13,58,90,68,46,64,82,29,32,58,90.76,91.28,73.75,93.18,87.38,88.29,0.11,91,75,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",1:00,94,86
H0248,Local CCP,Humana Inc.,Humana Insurance Company,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,92,Not enough data available to calculate measure,89,74.43,68.27,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,95,Not enough data available to calculate measure,58,92,51,36,46,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,80.27,88.22,71.28,Not enough data available to calculate measure,85.03,81.87,0.63,Not enough data available to calculate measure,Not enough data available to calculate measure,25,2:09,89,71
H0251,Local CCP,"UnitedHealth Group, Inc.",AmeriChoice Secure Plus Complete,54,38,83,87,40,91,62.53,64.66,Not enough data available to calculate measure,Not enough data available to calculate measure,60,36,92,Not enough data available to calculate measure,45,88,66,45,57,63,23,37,63,84.47,89.21,73.56,87.6,85.57,86.37,0.65,58,75,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",0:55,74,69
H0302,Local CCP,Banner Health,Banner MediSun,83,65,89,89,70,93,71.47,79.76,64,76,90,49,97,29,57,81,81,45,68,77,26,37,57,85.58,87.09,76.49,88.71,84.19,86.47,0.11,100,92,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",0:26,90,83
H0303,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,69,63,90,87,59,91,68.63,74.91,67,82,82,44,93,20,56,87,80,50,68,77,33,36,48,81.33,86.62,70.17,84.71,80.86,80.92,0.37,94,85,28,0:40,90,68
H0307,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",52,46,87,88,45,91,61.79,65.24,68,75,71,46,91,27,50,88,74,46,53,60,32,35,54,83.81,87.55,72.61,87.49,83.25,80.84,0.81,98,81,25,1:56,89,70
H0316,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,72,54,89,87,54,88,61.8,72.41,66,76,79,47,92,15,59,88,75,49,62,87,25,37,56,84.86,89.36,71.42,83.84,81.12,79.56,0.55,91,67,64,0:39,90,68
H0317,Local CCP,Humana Inc.,Humana Insurance Company,63,38,83,89,48,92,66.21,73.8,Not enough data available to calculate measure,Not enough data available to calculate measure,80,50,96,Not enough data available to calculate measure,51,82,70,53,47,79,Not enough data available to calculate measure,35,49,83.63,86.95,71.73,Not enough data available to calculate measure,82.91,77.58,1.08,96,75,25,1:56,89,70
H0318,Local CCP,Aetna Inc.,Aetna Medicare,66,53,95,89,52,86,56.49,59.02,73,74,80,41,93,Not enough data available to calculate measure,69,91,85,58,77,Not enough data available to calculate measure,Not enough data available to calculate measure,37,43,82.63,86.02,69.67,86.13,78.67,77.17,1.39,Not enough data available to calculate measure,Not enough data available to calculate measure,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",1:28,86,52
H0319,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,60,31,82,83,52,93,66.7,74.29,Not enough data available to calculate measure,Not enough data available to calculate measure,72,47,96,11,61,88,69,51,61,71,12,42,68,81.48,85.82,70.26,Not enough data available to calculate measure,82,80.82,0.77,83,69,63,0:34,90,68
H0320,Local CCP,Arcadian Management Services Inc.,Desert Canyon Community Care,64,28,78,81,34,89,56.64,66.03,64,81,71,34,90,Not enough data available to calculate measure,36,88,39,22,50,Not enough data available to calculate measure,18,33,49,82.98,87.62,70.04,88.78,81.21,81.39,0.73,Not enough data available to calculate measure,Not enough data available to calculate measure,52,0:42,90,62
H0321,Local CCP,"UnitedHealth Group, Inc.",APIPA Personal Care Plus,63,51,83,85,55,90,58.22,59.5,Not enough data available to calculate measure,Not enough data available to calculate measure,73,48,93,20,64,89,62,38,65,77,30,43,62,81.72,86.13,72.68,85.9,83.1,83.9,0.23,96,69,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",1:07,74,69
H0332,Local CCP,"KS Plan Administrators, LLC",KelseyCare Advantage,84,70,95,96,69,92,73.92,78.72,Not enough data available to calculate measure,Not enough data available to calculate measure,82,57,98,Not enough data available to calculate measure,66,97,86,63,71,Not enough data available to calculate measure,Not enough data available to calculate measure,37,50,87.01,91.42,77.34,91.72,88.64,91.94,0.32,100,82,21,0:15,94,85
H0351,Local CCP,"Health Net, Inc.","Health Net of Arizona, Inc.",68,59,89,88,56,91,64.99,70.11,68,78,76,43,94,20,66,90,80,52,71,74,32,36,53,85.35,86.55,70.83,84.77,81.7,78.93,0.44,81,82,18,0:57,88,63
H0354,Local CCP,CIGNA,CIGNA HealthCare of Arizona,73,73,88,90,77,95,74.59,79.01,66,79,82,46,97,21,77,95,88,61,71,81,28,34,56,85.5,87.66,75.4,89.33,83.99,86.62,0.17,100,93,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",0:28,89,84
H0370,Local CCP,Coventry Health Care Inc.,Coventry Health Care,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,31,0:33,84,82
H0401,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,60.69,62.66,Not enough data available to calculate measure,Plan too small to be measured,67,45,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,85.39,89.75,73.98,80.03,82.73,80.75,0.65,Not enough data available to calculate measure,Not enough data available to calculate measure,64,0:40,90,68
H0408,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,63,0:24,90,68
H0423,Local CCP,"MetroPlus Health Plan, Inc.",MetroPlus Health Plan,82,61,91,93,33,92,70.71,54.5,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,48,93,Not enough data available to calculate measure,67,93,75,52,58,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,78.97,89.3,65.47,86.99,78.64,81.97,0.33,Not enough data available to calculate measure,Not enough data available to calculate measure,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",0:53,88,22
H0474,Local CCP,Essence Group Holdings Corporation,Essence Healthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.32,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:18,90,67
H0490,Local CCP,"Molina Healthcare, Inc.,",Molina Healthcare of Ohio,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",0:30,88,85
H0502,1876 Cost,Contra Costa Health Services,Contra Costa Health Plan,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,68,79,59,46,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,32,65,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0504,Local CCP,California Physicians' Service,Blue Shield of California,73,63,90,89,62,88,60.97,64.82,63,78,67,49,93,17,80,91,84,57,70,68,19,40,55,84.76,91.17,72.6,89.65,85.93,86.26,0.35,99,79,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",0:56,91,73
H0523,Local CCP,Aetna Inc.,Aetna Medicare,71,67,89,92,44,86,63.79,69.2,63,78,72,42,93,18,70,91,84,56,66,84,16,37,53,84.51,88.26,73.09,85.33,84.27,85.44,0.52,100,87,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",1:21,86,52
H0524,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,90,81,96,96,72,86,75.42,83.61,67,76,77,48,96,66,85,97,91,76,85,77,35,33,52,86.12,90.9,78.28,91.33,87.05,89,0.11,96,78,49,0:41,80,67
H0540,PFFS,"Wellpoint, Inc.",Unicare Life & Health Ins. Company,64,Plan not required to report measure,83,80,62,85,63.51,66.07,Not enough data available to calculate measure,Not enough data available to calculate measure,68,43,90,17,49,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,79,26,35,48,87.27,90.73,77.36,85.3,84.66,79.45,1.22,85,60,33,1:01,91,48
H0543,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,75,62,90,90,59,89,66.74,70.12,72,79,66,48,93,19,71,94,83,63,63,74,21,37,58,83.36,88.78,74.97,84.99,84.27,83.52,0.38,94,85,28,0:34,90,69
H0544,Local CCP,CareMore Medical Enterprises,CareMore Health Plan,73,55,88,92,67,92,74.04,69.64,61,74,66,54,96,17,71,92,73,56,69,59,17,39,64,83.34,88.34,70.45,91.49,84.54,89.36,0.15,96,86,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",0:22,91,84
H0545,Local CCP,InterValley Health Plan,Inter Valley Health Plan,71,55,91,91,75,86,67.96,66.55,66,75,69,48,96,18,60,90,81,57,67,78,15,38,58,83.92,88.99,71.86,92.42,84.74,89.32,0.12,100,92,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",0:26,91,90
H0562,Local CCP,"Health Net, Inc.",Health Net of California,78,69,90,90,60,87,67.35,69.45,67,76,78,48,95,21,74,92,82,60,66,75,24,36,58,83.05,87.98,73.66,83.94,84.29,83.41,0.36,93,81,17,0:40,93,78
H0564,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross,68,52,88,88,49,86,56.96,62.79,64,75,60,40,90,11,65,89,84,54,66,70,15,32,54,79.38,87.26,68.26,82.82,79.55,77.85,0.48,80,59,70,0:36,91,48
H0571,Local CCP,Chinese Hospital Association,Chinese Community Health Plan,67,55,90,87,66,87,73.04,30.78,70,77,59,48,95,20,76,88,79,48,75,28,7,20,63,78.47,81.83,64.48,85.64,78.28,79.79,0.02,100,81,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",0:25,95,68
H0602,1876 Cost,"Rocky Mountain Health Maintenance , Inc.",Rocky Mountain Health Plans,75,67,87,83,69,54,72.48,78.11,69,77,83,49,96,24,70,79,87,58,71,79,30,34,54,88.32,91.98,80.31,93.82,88.28,88.23,0.07,87,80,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0609,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,68,66,88,89,65,90,74.23,78.67,67,77,81,48,95,22,58,86,79,61,65,77,33,38,56,86.05,89.37,76.54,85.64,84.91,84.07,0.44,97,88,20,0:38,90,68
H0620,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,29,13,Not enough data available to calculate measure,60,39,100,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,59,45,99,3,69,80,85,42,Not enough data available to calculate measure,Not enough data available to calculate measure,0,40,79,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,0,Not enough data available to calculate measure,Not enough data available to calculate measure,63,0:24,90,68
H0621,Local CCP,Colorado Access,Colorado Access,56,38,76,81,60,86,57.44,59.94,Not enough data available to calculate measure,Not enough data available to calculate measure,61,56,91,Not enough data available to calculate measure,65,82,49,39,55,68,30,56,67,78.66,84.13,75.52,84.14,81.88,78.42,0.3,Not enough data available to calculate measure,Not enough data available to calculate measure,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",0:22,87,70
H0623,Local CCP,Humana Inc.,Humana Insurance Company,61,36,90,87,60,88,65.06,67.58,67,74,83,50,94,Not enough data available to calculate measure,49,87,70,51,56,Not enough data available to calculate measure,43,41,50,85.75,89.01,76.19,Not enough data available to calculate measure,83.51,80.06,0.64,96,64,25,1:51,89,70
H0624,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,55,44,78,80,50,89,68.12,72.05,64,77,66,46,93,23,49,83,76,52,64,71,Not enough data available to calculate measure,38,58,85.28,90.1,75.5,83.14,82.96,80.64,0.53,92,100,63,0:34,90,68
H0630,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,84,85,95,92,81,94,81.49,81.33,69,73,73,55,95,54,82,98,91,85,77,85,46,34,57,87.13,90.77,81.14,90.86,85.86,88.22,0.13,99,91,82,0:20,91,82
H0657,1876 Cost,Colorado Choice Health Plans,Colorado Choice Health Plans,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,70,80,54,31,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,47,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0710,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,66,33,86,81,63,92,63.58,61.33,Not enough data available to calculate measure,Not enough data available to calculate measure,63,52,96,9,59,88,51,37,50,73,16,Not enough data available to calculate measure,67,82.94,89.64,73.2,Not enough data available to calculate measure,83,83.36,0.36,97,90,63,0:34,90,68
H0712,Local CCP,"WellCare Health Plans, Inc.",WellCare,73,53,86,83,56,91,49.89,52.58,66,80,58,49,90,Not enough data available to calculate measure,56,90,67,41,60,Not enough data available to calculate measure,36,Not enough data available to calculate measure,57,76.82,87.94,72.35,79.83,78.39,72.5,0.45,95,86,20,0:47,77,86
H0752,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,69,59,100,92,64,91,61.7,70.37,65,80,67,40,94,Not enough data available to calculate measure,51,89,71,61,63,Not enough data available to calculate measure,31,33,59,82.73,90.36,76.87,85.87,85.62,79.26,1.97,100,100,24,0:22,90,68
H0755,Local CCP,"Health Net, Inc.",UnitedHealthcare,76,70,95,87,74,91,75.27,71.28,69,78,73,48,97,16,75,83,80,57,66,75,33,33,60,86.48,89.89,76.76,88.19,84.56,82.94,0.2,62,68,36,0:56,89,68
H0838,Local CCP,"Universal Care, Inc",Brand New Day,60,29,Not enough data available to calculate measure,79,Not enough data available to calculate measure,75,60.24,41.12,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,87,Not enough data available to calculate measure,40,83,62,44,53,Not enough data available to calculate measure,83,Not enough data available to calculate measure,Not enough data available to calculate measure,82.55,84.34,70.85,88.55,80.82,81.78,0.65,Not enough data available to calculate measure,Not enough data available to calculate measure,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",0:06,94,96
H0901,Local CCP,Aetna Inc.,Aetna Medicare,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",1:16,86,52
