2012 Data View: Medicare Part C Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Staying Healthy: Screenings, Tests and Vaccines",,,,,,,,,,,,Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,Ratings of Plan Responsiveness and Care,,,,,"Member Complaints, Problems Getting Services, and Choosing to Leave the Plan",,,Health Plan Customer Service,,
H0294,Local CCP,XLHealth Corporation,Care Improvement Plus,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0302,Local CCP,Banner Health,Banner MediSun,81,67,87,90,74,75,82,70,78,49,97,75,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,31,57,84,84,50,63,83,39,55,12,84,78,90,86,87,0.10,80,6,100,88,80
H0303,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,68,64,89,90,63,72,76,68,76,43,94,51,72,46,49,20,60,87,81,60,73,78,37,61,12,85,75,85,84,83,0.21,40,10,85,87,82
H0307,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",62,54,89,85,52,64,69,66,74,45,94,52,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,28,55,87,73,49,62,73,35,57,14,85,74,84,84,82,0.54,80,18,95,66,84
H0316,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,69,56,87,86,56,65,72,65,80,44,93,42,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,21,56,89,76,58,68,84,36,51,12,84,76,86,84,83,0.48,40,11,86,77,82
H0317,Local CCP,Humana Inc.,Humana Insurance Company,70,45,85,87,60,64,74,63,80,51,96,46,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,29,58,87,74,54,45,76,39,50,12,84,75,85,85,82,0.66,100,19,91,80,84
H0318,Local CCP,Aetna Inc.,Aetna Medicare,66,56,88,87,58,67,68,Not enough data available to calculate measure,Not enough data available to calculate measure,49,93,55,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,67,87,84,56,76,Not enough data available to calculate measure,36,53,17,83,73,88,82,80,1.29,0,35,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0319,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,55,37,85,83,60,Plan too small to be measured,Plan too small to be measured,56,78,49,95,50,96,99,98,15,59,91,74,53,65,72,35,62,12,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.29,60,2,84,79,Not enough data available to calculate measure
H0320,Local CCP,Arcadian Management Services Inc.,Desert Canyon Community Care,62,42,83,89,39,57,69,62,80,36,92,25,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,47,82,63,44,54,82,30,41,12,82,69,87,81,83,0.19,0,9,92,100,Not enough data available to calculate measure
H0321,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare Community Plan,60,50,87,83,57,59,62,66,83,43,93,50,0 Footnote: Not reported. There were problems with the plan’s data,48,0 Footnote: Not reported. There were problems with the plan’s data,21,62,90,53,35,62,74,29,57,13,83,71,83,84,86,0.21,80,6,76,58,Not enough data available to calculate measure
H0332,Local CCP,"KS Plan Administrators, LLC",KelseyCare Advantage,81,71,94,96,68,74,79,Plan too new to be measured,Plan too new to be measured,57,98,98,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,25,70,97,87,63,71,Not enough data available to calculate measure,39,57,8,86,79,92,89,92,0.21,80,3,100,85,91
H0351,Local CCP,"Health Net, Inc.","Health Net of Arizona, Inc.",66,62,88,88,57,65,72,67,76,46,94,64,81,51,63,20,61,90,79,52,72,75,41,58,12,85,74,90,84,85,0.21,0,19,93,83,Not enough data available to calculate measure
H0354,Local CCP,CIGNA,CIGNA HealthCare of Arizona,73,70,91,89,76,76,79,67,78,44,96,94,92,91,87,18,72,94,83,54,73,83,33,55,14,85,77,88,85,87,0.16,51,6,100,95,92
H0401,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,51,38,Not enough data available to calculate measure,82,57,64,64,Plan too small to be measured,Plan too small to be measured,39,94,52,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,60,85,71,49,54,Not enough data available to calculate measure,34,45,18,84,73,87,85,84,0.18,60,18,Not enough data available to calculate measure,Not enough data available to calculate measure,83
H0408,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,60,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0423,Local CCP,New York City Health and Hospitals Corporation,MetroPlus Health Plan,84,64,94,94,58,71,57,Plan too new to be measured,Plan too new to be measured,60,95,84,72,58,82,Not enough data available to calculate measure,70,93,72,49,55,Not enough data available to calculate measure,Not enough data available to calculate measure,73,15,81,67,87,84,85,0.62,60,16,48,90,9
H0490,Local CCP,"Molina Healthcare, Inc.,",Molina Healthcare of Ohio,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,49,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,85
H0502,1876 Cost,Contra Costa Health Services,Contra Costa Health Plan,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,No data available,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,100,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0504,Local CCP,California Physicians' Service,Blue Shield of California,74,62,91,90,60,67,72,64,77,49,92,46,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,17,73,93,83,59,66,68,33,58,12,84,75,87,85,86,0.20,80,7,89,75,78
H0523,Local CCP,Aetna Inc.,Aetna Medicare,71,65,92,91,46,69,74,68,76,45,94,44,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,18,64,93,88,61,70,81,34,56,11,82,74,88,85,86,0.23,0,16,91,81,Not enough data available to calculate measure
H0524,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,90,84,97,96,73,79,87,69,77,56,96,98,96,89,80,74,85,97,93,76,86,87,38,59,14,86,80,88,89,90,0.11,80,1,94,77,89
H0543,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,75,67,94,91,64,76,78,65,76,47,94,60,65,10,13,19,72,93,90,67,66,74,31,56,11,82,77,Plan too small to be measured,87,86,0.35,20,7,86,85,82
H0544,Local CCP,"WellPoint, Inc.",CareMore Health Plan,78,63,94,91,75,78,73,67,75,54,96,48,71,69,74,36,76,92,75,60,71,59,36,66,10,82,73,88,87,90,0.15,80,6,85,70,74
H0545,Local CCP,InterValley Health Plan,Inter Valley Health Plan,73,56,90,89,74,68,73,70,74,51,96,39,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,12,62,90,79,63,73,70,34,64,2,85,75,91,85,90,0.08,80,6,100,77,83
H0562,Local CCP,"Health Net, Inc.",Health Net of California,81,75,89,91,63,73,75,69,77,51,95,64,70,27,39,18,75,92,84,62,68,73,35,58,11,86,78,85,86,87,0.21,0,9,92,82,Not enough data available to calculate measure
H0564,Local CCP,"WellPoint, Inc.",Anthem Blue Cross,66,56,88,88,58,66,69,67,80,42,91,50,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,17,59,91,74,54,62,74,33,57,100 Footnote: Not reported. There were problems with the plan’s data,84,75,84,82,81,0.42,60,15,86,83,69
H0571,Local CCP,Chinese Hospital Association,Chinese Community Health Plan,70,58,90,90,67,81,36,69,76,49,96,63,72,28,35,24,74,88,82,50,71,47,26,64,14,86,70,90,84,86,0.02,80,4,100,86,68
H0602,1876 Cost,"Rocky Mountain HMO, Inc.",Rocky Mountain Health Plans,73,71,85,81,70,76,80,68,80,51,96,49,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,22,67,82,84,56,73,75,39,57,Plan not required to report measure,88,79,93,86,87,0.08,80,4,97,82,Not enough data available to calculate measure
H0609,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,67,57,94,85,68,77,79,68,79,53,95,42,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,22,53,89,83,58,65,76,34,54,11,86,79,83,86,85,0.27,20,5,86,86,83
H0620,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,27,12,Not enough data available to calculate measure,63,35,Plan too small to be measured,Plan too small to be measured,62,75,43,96,20,90,95,96,3,48,94,81,48,Not enough data available to calculate measure,Not enough data available to calculate measure,38,81,5,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.24,60,3,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0621,Local CCP,Colorado Access,Colorado Access Advantage,52,44,86,80,63,67,60,69,77,47,90,64,71,48,50,Not enough data available to calculate measure,59,82,57,42,64,85,40,68,10,82,76,86,84,83,0.00,80,10,Not enough data available to calculate measure,Not enough data available to calculate measure,88
H0623,Local CCP,Humana Inc.,Humana Insurance Company,61,37,87,82,57,71,70,67,76,49,94,39,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,58,87,37,27,47,83,47,49,12,85,78,85,86,83,0.73,80,14,100,69,84
H0624,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,54,46,77,81,53,66,69,63,73,48,94,37,58,68,34,7,54,88,77,54,60,76,40,64,12,85,78,84,85,85,0.37,60,5,100,83,Not enough data available to calculate measure
H0630,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,86,85,98,93,81,80,83,68,79,49,95,95,79,79,47,57,85,98,89,81,83,83,35,56,12,86,84,92,89,90,0.10,80,1,99,91,89
H0657,1876 Cost,Colorado Choice Health Plans,Colorado Choice Health Plans,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,67,77,33,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,39,48,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,80,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0710,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,68,35,78,84,67,68,55,61,77,53,95,27,61,64,47,3,68,93,45,37,53,78,39,78,12,80,71,Plan too small to be measured,82,84,0.63,60,7,97,92,Not enough data available to calculate measure
H0712,Local CCP,"WellCare Health Plans, Inc.",WellCare,71,57,85,86,61,65,55,73,81,45,92,34,64,36,37,Not enough data available to calculate measure,55,90,64,46,58,Not enough data available to calculate measure,31,61,14,78,70,83,82,80,0.30,80,17,92,92,78
H0752,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,72,55,87,87,60,69,66,70,82,45,93,32,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,59,88,63,49,63,Not enough data available to calculate measure,35,63,14,86,77,91,87,84,0.87,60,16,93,80,83
H0755,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,74,72,91,88,73,68,63,71,82,50,97,55,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,16,73,85,78,57,73,75,39,59,14,86,77,87,85,83,0.65,80,24,97,69,87
H0838,Local CCP,"Universal Care, Inc",Brand New Day,61,31,Not enough data available to calculate measure,89,42,60,39,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,92,86,94,72,81,Not enough data available to calculate measure,47,83,63,41,70,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,16,79,71,83,83,83,0.37,100,17,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0901,Local CCP,Aetna Inc.,Aetna Medicare,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,0,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0908,Local CCP,Centene Corporation,Advantage by Buckeye Community Health Plan,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,24,5,11,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,80,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0913,Local CCP,"WellCare Health Plans, Inc.",WellCare,66,41,89,86,53,61,36,Plan too new to be measured,Plan too new to be measured,44,88,27,55,18,25,Not enough data available to calculate measure,48,87,58,37,54,Not enough data available to calculate measure,Not enough data available to calculate measure,61,17,Plan too small to be measured,68,Plan too small to be measured,82,77,0.21,80,27,Not enough data available to calculate measure,Not enough data available to calculate measure,78
H0979,PFFS,"America?s 1st Choice Insurance Company of NC, Inc.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",62,Plan not required to report measure,78,82,62,69,68,Plan too new to be measured,Plan too new to be measured,50,94,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,50,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,81,39,58,12,89,76,91,86,88,0.80,80,14,Not enough data available to calculate measure,Not enough data available to calculate measure,92
H1013,Local CCP,Coventry Health Care Inc.,Coventry Health Plan of Florida,77,55,93,94,54,56,47,68,73,51,94,47,53,11,7,15,45,90,78,47,49,71,37,63,12,83,72,86,85,87,0.30,40,18,72,72,85
H1016,Local CCP,"AvMed, Inc.",AvMed Medicare,73,69,94,94,67,63,66,66,79,57,96,27,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,23,61,88,85,59,69,72,38,61,14,87,72,91,86,90,0.21,80,10,85,70,80
H1019,Local CCP,Humana Inc.,"CarePlus Health Plans, Inc.",80,72,96,94,80,55,52,65,81,50,97,53,75,29,34,30,68,90,81,47,66,65,35,62,14,Plan too small to be measured,72,Plan too small to be measured,85,84,0.22,80,17,99,77,85
H1026,Local CCP,Blue Cross and Blue Shield of Florida,"Health Options, Inc / Blue Cross Blue Shield of FL",69,60,92,92,38,57,58,63,82,49,94,33,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,17,0 Footnote: Not reported. There were problems with the plan’s data,94,81,58,66,68,38,55,100 Footnote: Not reported. There were problems with the plan’s data,83,72,86,84,80,0.36,80,28,96,78,58
H1032,Local CCP,"WellCare Health Plans, Inc.",WellCare,73,57,90,92,68,67,68,68,75,47,95,56,76,36,45,17,63,90,81,50,57,61,36,50,12,84,71,84,85,84,0.38,60,19,99,87,78
H1035,Local CCP,Blue Cross and Blue Shield of Florida,"Florida Health Care Plan, Inc.",84,78,94,95,81,71,82,67,78,48,98,85,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,47,74,89,89,66,57,79,35,56,11,86,78,89,86,88,0.09,80,6,96,73,73
H1036,Local CCP,Humana Inc.,"Humana Medical Plan, Inc.",80,71,96,96,69,71,67,62,73,48,97,65,79,53,39,26,68,96,88,55,68,49,37,60,11,85,75,89,84,86,0.27,100,9,95,79,84
H1045,Local CCP,Preferred Care Partners Holding Corp,"Preferred Care Partners, Inc.",78,72,97,98,68,57,56,70,78,57,96,47,71,38,28,20,71,92,91,68,78,56,42,67,12,85,75,92,87,89,0.31,60,10,78,59,77
H1076,Local CCP,Coventry Health Care Inc.,Coventry Health Care of Florida,71,51,93,91,47,50,47,64,79,45,89,47,53,11,7,8,40,83,75,45,49,64,32,59,12,80,74,86,83,84,0.44,20,30,67,67,85
H1080,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,63,62,90,89,66,59,68,66,75,49,95,31,50,38,17,22,58,87,75,50,59,72,41,63,13,88,76,87,86,85,0.30,40,20,73,76,83
H1099,Local CCP,Health First,Health First Medicare Plans,79,71,94,93,74,74,76,67,77,53,98,75,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,22,83,91,90,64,73,80,40,60,13,87,75,91,86,86,0.16,100,5,87,84,87
H1108,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,53,33,83,78,59,54,54,69,74,50,93,36,73,78,62,7,54,88,65,42,44,77,31,70,12,86,72,89,86,88,0.58,40,6,90,81,Not enough data available to calculate measure
H1109,Local CCP,Aetna Inc.,Aetna Medicare,72,62,90,92,62,71,67,72,81,51,94,59,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,59,88,82,58,66,68,38,58,13,83,72,87,84,82,0.41,0,23,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H1110,Local CCP,Aetna Inc.,Aetna Medicare,77,52,Not enough data available to calculate measure,93,74,71,68,Plan too small to be measured,Plan too small to be measured,No data available,97,60,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,79,97,86,62,65,Not enough data available to calculate measure,No data available,No data available,10,86,75,87,86,83,0.40,0,12,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H1111,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,65,54,87,84,52,61,62,65,69,42,93,45,60,44,14,Not enough data available to calculate measure,52,83,60,39,52,80,31,63,10,89,71,88,86,87,0.45,40,15,Not enough data available to calculate measure,Not enough data available to calculate measure,83
H1112,Local CCP,"WellCare Health Plans, Inc.",WellCare,64,47,90,88,61,61,56,68,80,54,92,49,71,39,39,9,64,91,71,47,52,64,37,56,14,76,70,79,83,81,0.56,60,16,100,70,78
H1170,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,81,84,97,97,61,75,83,66,79,57,96,99,98,91,95,20,81,94,89,73,75,71,36,52,12,85,78,90,88,90,0.36,80,4,74,86,89
