2012 Domain Star View: Medicare Part C Report Card Master Table,,,,,,,,
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,"Staying Healthy: Screenings, Tests and Vaccines",Managing Chronic (Long Term) Conditions,Ratings of Plan Responsiveness and Care,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave the Health Plan",Health Plan Customer Service
H0319,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,3 out of 5 stars
H0320,Local CCP,Arcadian Management Services Inc.,Desert Canyon Community Care,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,5 stars
H0321,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare Community Plan,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H0332,Local CCP,"KS Plan Administrators, LLC",KelseyCare Advantage,5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H0351,Local CCP,"Health Net, Inc.","Health Net of Arizona, Inc.",3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H0354,Local CCP,CIGNA,CIGNA HealthCare of Arizona,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H0401,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H0408,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0423,Local CCP,New York City Health and Hospitals Corporation,MetroPlus Health Plan,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H0490,Local CCP,"Molina Healthcare, Inc.,",Molina Healthcare of Ohio,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0502,1876 Cost,Contra Costa Health Services,Contra Costa Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0504,Local CCP,California Physicians' Service,Blue Shield of California,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H0523,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H0524,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,4 out of 5 stars,5 stars,5 stars,5 stars,4 out of 5 stars
H0543,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H0544,Local CCP,"WellPoint, Inc.",CareMore Health Plan,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars
H0545,Local CCP,InterValley Health Plan,Inter Valley Health Plan,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H0562,Local CCP,"Health Net, Inc.",Health Net of California,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H0564,Local CCP,"WellPoint, Inc.",Anthem Blue Cross,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H0571,Local CCP,Chinese Hospital Association,Chinese Community Health Plan,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars
H0602,1876 Cost,"Rocky Mountain HMO, Inc.",Rocky Mountain Health Plans,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H0609,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H0620,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,2 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category
H0621,Local CCP,Colorado Access,Colorado Access Advantage,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H0623,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H0624,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H0630,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,5 stars
H0657,1876 Cost,Colorado Choice Health Plans,Colorado Choice Health Plans,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0710,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,5 stars
H0712,Local CCP,"WellCare Health Plans, Inc.",WellCare,3 out of 5 stars,3 out of 5 stars,1 out of 5 stars,3 out of 5 stars,5 stars
H0752,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H0755,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H0838,Local CCP,"Universal Care, Inc",Brand New Day,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H0901,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0908,Local CCP,Centene Corporation,Advantage by Buckeye Community Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0913,Local CCP,"WellCare Health Plans, Inc.",WellCare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H0979,PFFS,"America?s 1st Choice Insurance Company of NC, Inc.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",3 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H1013,Local CCP,Coventry Health Care Inc.,Coventry Health Plan of Florida,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H1016,Local CCP,"AvMed, Inc.",AvMed Medicare,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H1019,Local CCP,Humana Inc.,"CarePlus Health Plans, Inc.",4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H1026,Local CCP,Blue Cross and Blue Shield of Florida,"Health Options, Inc / Blue Cross Blue Shield of FL",3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H1032,Local CCP,"WellCare Health Plans, Inc.",WellCare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H1035,Local CCP,Blue Cross and Blue Shield of Florida,"Florida Health Care Plan, Inc.",4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,3 out of 5 stars
H1036,Local CCP,Humana Inc.,"Humana Medical Plan, Inc.",4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H1045,Local CCP,Preferred Care Partners Holding Corp,"Preferred Care Partners, Inc.",4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H1076,Local CCP,Coventry Health Care Inc.,Coventry Health Care of Florida,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H1080,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H1099,Local CCP,Health First,Health First Medicare Plans,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H1108,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H1109,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H1110,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H1111,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H1112,Local CCP,"WellCare Health Plans, Inc.",WellCare,3 out of 5 stars,3 out of 5 stars,1 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H1170,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H1200,1876 Cost,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Medicare Cost,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1216,Local CCP,"WellCare Health Plans, Inc.",WellCare,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H1230,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H1251,1876 Cost,Hawaii Medical Service Association,HMSA's 65C Plus,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H1264,Local CCP,"WellCare Health Plans, Inc.",WellCare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,5 stars
H1286,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H1291,PFFS,Humana Inc.,Humana Insurance Company of New York,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H1302,Local CCP,"Blue Cross of Idaho Health Services, Inc.",Blue Cross of Idaho,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H1303,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H1304,Local CCP,The Regence Group,Regence BlueShield Of Idaho,3 out of 5 stars,2 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H1350,Local CCP,"Blue Cross of Idaho Health Services, Inc.",Blue Cross of Idaho,4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H1355,Local CCP,"HealthSpring, Inc.",Bravo Health,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1365,Local CCP,"Martin's Point Health Care, Inc.",Martin's Point Generations Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars,Not enough data to calculate stars for this category
H1406,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H1415,Local CCP,"HealthSpring, Inc.","HealthSpring, Inc.",3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H1416,Local CCP,"WellCare Health Plans, Inc.",WellCare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,5 stars
H1417,Local CCP,Health Alliance Medical Plans,Health Alliance Medical Plans,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H1418,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H1419,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category
H1463,Local CCP,Health Alliance Medical Plans,Health Alliance Medical Plans,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,Not enough data to calculate stars for this category
H1468,Local CCP,Humana Inc.,"Humana Benefit Plan of Illinois, Inc.",3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H1509,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H1510,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H1517,Local CCP,"WellPoint, Inc.",Anthem Blue Cross and Blue Shield,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H1537,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1558,1876 Cost,"Neighborhood Health Providers, Inc.",Welborn Health Plans,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category
H1595,Local CCP,HealthPlus of Michigan,HealthPlus,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1607,Local CCP,"WellPoint, Inc.",Anthem Blue Cross and Blue Shield,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H1608,Local CCP,Coventry Health Care Inc.,Coventry Health Care,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H1609,Local CCP,Coventry Health Care Inc.,Coventry Health Care,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H1651,1876 Cost,Medical Associates Clinic,"Medical Associates Health Plan, Inc.",4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,Not enough data to calculate stars for this category
H1659,Local CCP,Piedmont Community Health Plan,Piedmont Medicare Advantage,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H1681,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H1716,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H1717,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H1777,Local CCP,"Catholic Health Care System, Inc.","ArchCare Advantage,HMO",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars,Not enough data to calculate stars for this category
H1804,PFFS,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category,5 stars,4 out of 5 stars
H1806,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H1837,Local CCP,Essence Group Holdings Corporation,Essence Healthcare,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H1846,Local CCP,Trinity Health,MediGold,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1849,Local CCP,"WellPoint, Inc.",Anthem Blue Cross and Blue Shield,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H1903,Local CCP,"WellCare Health Plans, Inc.",WellCare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,5 stars
H1906,PFFS,Humana Inc.,"Humana Health Benefit Plan of LA, Inc.",3 out of 5 stars,2 out of 5 stars,5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H1944,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H1951,Local CCP,Humana Inc.,"Humana Health Benefit Plan of Louisiana, Inc.",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H1961,Local CCP,"New Orleans Reg Physician Hosp Organization, Inc.",Peoples Health,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H2001,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H2012,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H2029,Local CCP,Humana Inc.,"Humana Insurance of Puerto Rico, Inc.",2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H2034,Local CCP,"Community Care, Inc.",Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2108,Local CCP,"HealthSpring, Inc.",Bravo Health,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H2111,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category
H2112,Local CCP,Aetna Inc.,Aetna Medicare,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H2150,1876 Cost,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Medicare Plus,4 out of 5 stars,5 stars,3 out of 5 stars,5 stars,5 stars
H2161,Local CCP,"UPPER PENINSULA HEALTH PLAN, INC.",Upper Peninsula Health Plan Plus (HMO SNP),Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data to calculate stars for this category,Plan too new to be measured
H2165,Local CCP,"HealthSpring, Inc.",HealthSpring Life & Health,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H2174,Local CCP,Trillium Community Health Plan,Trillium Advantage,3 out of 5 stars,4 out of 5 stars,5 stars,5 stars,5 stars
H2182,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars
H2224,Local CCP,"Senior Whole Health, LLC",Senior Whole Health,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H2225,Local CCP,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H2226,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare Community Plan,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H2228,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category
H2230,Local CCP,"Blue Cross and Blue Shield of Massachusetts, Inc.",Blue Cross Blue Shield of Massachusetts,5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H2237,Local CCP,Independent Care Health Plan Inc.,iCare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H2241,Local CCP,Golden State Medicare Health Plan,"Golden State Medicare Health Plan, Golden (HMO)",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2256,Local CCP,"TAHMO, Inc.",Tufts Health Plan Medicare Preferred,5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,5 stars
H2261,Local CCP,"Blue Cross and Blue Shield of Massachusetts, Inc.",Blue Cross Blue Shield of Massachusetts,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H2312,Local CCP,Health Alliance Plan (HAP),HAP Senior Plus,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,2 out of 5 stars
H2320,Local CCP,Spectrum Health System,Priority Health Medicare,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars
H2322,Local CCP,Health Alliance Plan (HAP),Alliance Medicare PPO,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H2323,Local CCP,Fidelis SecureCare,Fidelis SecureCare Of Michigan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars,3 out of 5 stars
H2354,Local CCP,HealthPlus of Michigan,HealthPlus of Michigan,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,Not enough data to calculate stars for this category
H2406,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,Not enough data to calculate stars for this category
H2410,PFFS,Medica Holding Company,Medica Health Plans,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2411,Local CCP,Fallon Community Health Plan,Fallon Community Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2416,Local CCP,PrimeWest Health System,PrimeWest Health,3 out of 5 stars,3 out of 5 stars,5 stars,5 stars,Not enough data to calculate stars for this category
H2417,Local CCP,Itasca County Health & Human Services,Itasca Medical Care/IMCare Classic,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H2419,Local CCP,South Country Health Alliance,South Country Health Alliance,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,Not enough data to calculate stars for this category
H2422,Local CCP,"HealthPartners, Inc.",HealthPartners,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H2425,Local CCP,Blue Cross and Blue Shield of Minnesota,Blue Plus,3 out of 5 stars,3 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H2450,1876 Cost,Medica Holding Company,Medica Insurance Company,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars
H2456,Local CCP,UCare Minnesota,UCare,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,Not enough data to calculate stars for this category
H2457,Local CCP,Metropolitan Health Plan,Metropolitan Health Plan MSHO,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
