2010 Measure Star View: Medicare Part C Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0108,Local CCP,Humana Inc.,"Humana Health Plan of California, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0117,Local CCP,"WellCare Health Plans, Inc.",WellCare,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,Not enough data available to calculate measure,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,4 out of 5 stars,Not enough data available to calculate measure,2 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,1 out of 5 stars,2 out of 5 stars,1 out of 5 stars,2 out of 5 stars,1 out of 5 stars,Not enough data available to calculate measure,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H0141,Local CCP,CareSource,CareSource,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H0150,Local CCP,"HealthSpring, Inc.","Healthspring of Alabama, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,1 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not available,5 stars,5 stars,5 stars
H0151,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,1 out of 5 stars,2 out of 5 stars,4 out of 5 stars,1 out of 5 stars,2 out of 5 stars,1 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,Not available,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H0154,Local CCP,UAB Health System,VIVA Medicare Plus,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,1 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,1 out of 5 stars,4 out of 5 stars,Not available,5 stars,4 out of 5 stars,5 stars
H0248,Local CCP,Humana Inc.,Humana Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0251,Local CCP,"UnitedHealth Group, Inc.",AmeriChoice Secure Plus Complete,1 out of 5 stars,2 out of 5 stars,4 out of 5 stars,1 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,4 out of 5 stars,Not enough data available to calculate measure,2 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,5 stars,Not enough data available to calculate measure,Not available,5 stars,4 out of 5 stars,3 out of 5 stars
H0302,Local CCP,Banner Health,Banner Health MediSun,5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,1 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,5 stars,5 stars,5 stars,5 stars,Not available,5 stars,2 out of 5 stars,5 stars
H0303,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,5 stars,5 stars,4 out of 5 stars,4 out of 5 stars,Not available,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H0307,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",1 out of 5 stars,3 out of 5 stars,4 out of 5 stars,1 out of 5 stars,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,1 out of 5 stars,3 out of 5 stars,2 out of 5 stars,1 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,1 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H0316,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,1 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,2 out of 5 stars,2 out of 5 stars,1 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,1 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,3 out of 5 stars,Not available,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H0317,Local CCP,Humana Inc.,Humana Insurance Company,2 out of 5 stars,Plan not required to report measure,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data available to calculate measure,1 out of 5 stars,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,2 out of 5 stars,1 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,2 out of 5 stars,2 out of 5 stars,5 stars,4 out of 5 stars,Not enough data available to calculate measure,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H0318,Local CCP,Aetna Inc.,Aetna Medicare,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1 out of 5 stars,1 out of 5 stars,2 out of 5 stars,2 out of 5 stars,1 out of 5 stars,2 out of 5 stars,5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,1 out of 5 stars,3 out of 5 stars,1 out of 5 stars,3 out of 5 stars
H0319,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,1 out of 5 stars,Plan not required to report measure,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,3 out of 5 stars,5 stars,1 out of 5 stars,1 out of 5 stars,Plan not required to report measure,2 out of 5 stars,1 out of 5 stars,2 out of 5 stars,5 stars,1 out of 5 stars,1 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,1 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,Not enough data available to calculate measure,Not available,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H0320,Local CCP,Arcadian Management Services Inc.,Desert Canyon Community Care,2 out of 5 stars,1 out of 5 stars,3 out of 5 stars,1 out of 5 stars,4 out of 5 stars,1 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,2 out of 5 stars,2 out of 5 stars,1 out of 5 stars,2 out of 5 stars,2 out of 5 stars,1 out of 5 stars,4 out of 5 stars,1 out of 5 stars,2 out of 5 stars,4 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H0321,Local CCP,"UnitedHealth Group, Inc.",APIPA Personal Care Plus,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,1 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,Not enough data available to calculate measure,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,1 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,5 stars,Not enough data available to calculate measure,5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H0332,Local CCP,"KS Plan Administrators, LLC",KelseyCare Advantage,Not enough data available to calculate measure,Not enough data available to calculate measure,5 stars,Not enough data available to calculate measure,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,5 stars,Not enough data available to calculate measure,5 stars,4 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,3 out of 5 stars,5 stars,3 out of 5 stars,5 stars,5 stars,5 stars,4 out of 5 stars,5 stars,Not enough data available to calculate measure,5 stars,Not available,5 stars,5 stars,5 stars
H0346,National PACE,"PACE VERMONT, INC.","PACE Vermont, Inc",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0351,Local CCP,"Health Net, Inc.","Health Net of Arizona, Inc.",3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,1 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H0354,Local CCP,CIGNA,CIGNA Medicare Select,4 out of 5 stars,5 stars,4 out of 5 stars,5 stars,4 out of 5 stars,5 stars,5 stars,4 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars,5 stars,1 out of 5 stars,5 stars,5 stars,4 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,1 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,5 stars,5 stars,5 stars,5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H0370,Local CCP,Coventry Health Care Inc.,Coventry Health and Life Insurance Company,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H0401,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,3 out of 5 stars,Not available,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H0408,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H0410,Demo,"UnitedHealth Group, Inc.",Erickson Advantage,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0423,Local CCP,"MetroPlus Health Plan, Inc.",MetroPlus Health Plan,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,4 out of 5 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,3 out of 5 stars,5 stars,2 out of 5 stars
H0474,Local CCP,Essence LLP,Essence Healthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
