2010 Domain Star View: Medicare Part C Report Card Master Table,,,,,,,,
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,"Staying Healthy: Screenings, Tests and Vaccines",Managing Chronic (Long Term) Conditions,Ratings of Health Plan Responsiveness and Care,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave",Health Plan’s Telephone Customer Service
H0316,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H0317,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H0318,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H0319,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,1 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H0320,Local CCP,Arcadian Management Services Inc.,Desert Canyon Community Care,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H0321,Local CCP,"UnitedHealth Group, Inc.",APIPA Personal Care Plus,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H0332,Local CCP,"KS Plan Administrators, LLC",KelseyCare Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,5 stars,5 stars
H0346,National PACE,"PACE VERMONT, INC.","PACE Vermont, Inc",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0351,Local CCP,"Health Net, Inc.","Health Net of Arizona, Inc.",4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H0354,Local CCP,CIGNA,CIGNA Medicare Select,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars
H0370,Local CCP,Coventry Health Care Inc.,Coventry Health and Life Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars
H0401,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H0408,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H0410,Demo,"UnitedHealth Group, Inc.",Erickson Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0423,Local CCP,"MetroPlus Health Plan, Inc.",MetroPlus Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H0474,Local CCP,Essence LLP,Essence Healthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0490,Local CCP,"Molina Healthcare, Inc.,",Molina Healthcare of Ohio,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0496,PFFS,Summa Health System,SummaCare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0502,1876 Cost,Contra Costa Health Services,Contra Costa Health Plan,4 out of 5 stars,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0504,Local CCP,Blue Shield of California,Blue Shield of California,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H0523,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H0524,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H0532,Local CCP,Western Health Advantage,Western Health Advantage,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H0540,PFFS,"Wellpoint, Inc.",Unicare Life & Health Ins. Company,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H0542,National PACE,Altamed Health Services Corporation,AltaMed Senior BuenaCare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0543,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,5 stars,3 out of 5 stars
H0544,Local CCP,CareMore Medical Enterprises,CareMore Health Plan,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,5 stars
H0545,Local CCP,InterValley Health Plan,Inter Valley Health Plan,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H0562,Local CCP,"Health Net, Inc.",Health Net of CA,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H0564,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H0571,Local CCP,Chinese Hospital Association,Chinese Community Health Plan,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,5 stars
H0602,1876 Cost,"Rocky Mountain Health Maintenance , Inc.",Rocky Mountain Health Plans,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H0609,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars
H0613,National PACE,"Total Longterm Care, Inc.","Total Longterm Care, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0620,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H0621,Local CCP,Colorado Access,Colorado Access,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,5 stars,4 out of 5 stars
H0623,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H0624,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H0630,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H0657,1876 Cost,"HMO Health Plans, Inc.",San Luis Valley HMO,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0710,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H0712,Local CCP,"WellCare Health Plans, Inc.",WellCare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H0747,PFFS,Educators Mutual Insurance Association,Educators Mutual Insurance Association,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H0752,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H0755,Local CCP,"Health Net, Inc.",Health Net of Connecticut,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H0806,Local CCP,Coventry Health Care Inc.,Altius Advantra,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H0838,Local CCP,"Universal Care, Inc",Brand New Day,2 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H0901,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,1 out of 5 stars,3 out of 5 stars
H0908,Local CCP,Centene Corporation,Advantage by Buckeye Community Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H0913,Local CCP,"WellCare Health Plans, Inc.",WellCare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,1 out of 5 stars,3 out of 5 stars
H0974,Local CCP,Blue Cross and Blue Shield of Minnesota,Blue Plus,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H0979,PFFS,Dr. Kiran C. Patel,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,1 out of 5 stars,2 out of 5 stars
H1013,Local CCP,Coventry Health Care Inc.,"Vista Healthplan of South Florida, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H1016,Local CCP,"AvMed, Inc.",AvMed Medicare Preferred,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H1019,Local CCP,Humana Inc.,"CarePlus Health Plans, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H1026,Local CCP,Blue Cross and Blue Shield of Florida,"Health Options, Inc / Blue Cross Blue Shield of FL",4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H1032,Local CCP,"WellCare Health Plans, Inc.",WellCare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H1035,Local CCP,Blue Cross and Blue Shield of Florida,"Florida Health Care Plan, Inc.",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H1036,Local CCP,Humana Inc.,"Humana Medical Plan, Inc.",4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H1043,National PACE,"Florida PACE Centers, Inc.","Florida Pace Centers, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1045,Local CCP,Preferred Care Partners Holding Corporation,"Preferred Care Partners, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H1076,Local CCP,Coventry Health Care Inc.,"Vista Healthplan, Inc.",3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H1080,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H1099,Local CCP,Health First,Health First Medicare Plans,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H1108,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H1109,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H1110,Local CCP,Aetna Inc.,Aetna Medicare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars
H1111,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H1112,Local CCP,"WellCare Health Plans, Inc.",WellCare,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H1170,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H1200,1876 Cost,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Medicare Cost,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1216,Local CCP,"WellCare Health Plans, Inc.",WellCare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H1230,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H1234,National PACE,Life St. Francis,LIFE St. Francis,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1251,1876 Cost,Hawaii Medical Service Association,HMSA's 65C Plus,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1254,PFFS,University of Pittsburgh Medical Center,UPMC Health Plan,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H1264,Local CCP,"WellCare Health Plans, Inc.",WellCare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H1286,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H1302,Local CCP,"Blue Cross of Idaho Health Services, Inc.",Blue Cross of Idaho,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,5 stars
H1303,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H1304,Local CCP,The Regence Group,Regence BlueShield Of Idaho,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H1310,National PACE,Comprehensive Senior Care Corporation,CentraCare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1350,Local CCP,"Blue Cross of Idaho Health Services, Inc.",Blue Cross of Idaho,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H1355,Local CCP,"Bravo Health, Inc.",Bravo Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1364,Local CCP,"UnitedHealth Group, Inc.",Unison Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H1365,Local CCP,"Martin's Point Health Care, Inc.",Martin's Point Generations Advantage,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1406,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H1415,Local CCP,"HealthSpring, Inc.","HealthSpring, Inc.",2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H1416,Local CCP,"WellCare Health Plans, Inc.",WellCare,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H1417,Local CCP,Health Alliance Medical Plans,Health Alliance Medical Plans,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,5 stars,5 stars
H1418,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H1419,Local CCP,Aetna Inc.,Aetna Medicare,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H1463,Local CCP,Health Alliance Medical Plans,Health Alliance Medical Plans,4 out of 5 stars,3 out of 5 stars,5 stars,5 stars,5 stars
H1468,Local CCP,Humana Inc.,"Humana Benefit Plan of Illinois, Inc.",3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars,2 out of 5 stars
H1509,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H1510,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H1517,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,Not enough data to calculate stars for this category
H1518,National PACE,"Catholic Health Care System, Inc.",Catholic Health LIFE,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1553,1876 Cost,The M Plan Inc.,"Clarian Health Plans, Inc. - Senior Smart Choice",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1558,1876 Cost,Welborn Clinic,Welborn Health Plans,4 out of 5 stars,4 out of 5 stars,5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1595,Local CCP,HealthPlus of Michigan,HealthPlus,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1607,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H1608,Local CCP,Coventry Health Care Inc.,Coventry Health and Life Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H1609,Local CCP,Coventry Health Care Inc.,"Coventry Health Care of Iowa, Inc.",4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H1643,PFFS,Highmark Inc.,Highmark Health Insurance Company,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,5 stars
H1651,1876 Cost,Medical Associates Clinic,"Medical Associates Health Plan, Inc.",4 out of 5 stars,3 out of 5 stars,5 stars,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1657,Local CCP,"WellCare Health Plans, Inc.",WellCare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H1681,Local CCP,Humana Inc.,Humana Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1689,PFFS,"Wellpoint, Inc.","Anthem Insurance Companies, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,Not enough data to calculate stars for this category
H1714,National PACE,"Via Christi Outreach Pgrm. Elders, Inc",Via Christi HOPE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1716,Local CCP,Humana Inc.,Humana Insurance Company,4 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H1717,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,3 out of 5 stars
H1777,Local CCP,"Catholic Health Care System, Inc.",ArchCare Advantage,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars
H1804,PFFS,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H1806,Local CCP,Humana Inc.,Humana Insurance Company,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H1807,Local CCP,"University Health Care, Inc.",Passport Advantage,2 out of 5 stars,2 out of 5 stars,3 out of 5 stars,5 stars,3 out of 5 stars
H1837,Local CCP,Essence LLP,Essence Healthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars,4 out of 5 stars,5 stars
H1846,Local CCP,Trinity Health,MediGold,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1849,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross and Blue Shield,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,Not enough data to calculate stars for this category
H1903,Local CCP,"WellCare Health Plans, Inc.",WellCare,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H1904,National PACE,PACE GREATER NEW ORLEANS,Pace Greater New Orleans,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H1906,PFFS,Humana Inc.,"Humana Health Benefit Plan of LA, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H1944,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H1951,Local CCP,Humana Inc.,Humana Health Benefit Plan of Louisiana Inc,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,2 out of 5 stars
H1961,Local CCP,Tenet Healthcare Corporation,Peoples Health,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars
H2001,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,4 out of 5 stars,2 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H2012,Local CCP,Humana Inc.,"Humana Health Plan, Inc",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2029,Local CCP,Humana Inc.,"Humana Insurance of Puerto Rico, Inc.",3 out of 5 stars,Not enough data to calculate stars for this category,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H2034,Local CCP,"Community Care, Inc.",Community Care,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,4 out of 5 stars
H2063,National PACE,Billings Clinic,Billings Clinic PACE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
