2010 Data View: Medicare Part C Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Staying Healthy: Screenings, Tests and Vaccines",,,,,,,,,,,,Managing Chronic (Long Term) Conditions,,,,,,,Ratings of Health Plan Responsiveness and Care,,,,,,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave the Health Plan",,,,,Health Plan’s Telephone Customer Service,,
H0141,Local CCP,CareSource,CareSource,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,1:03,77,70
H0150,Local CCP,"HealthSpring, Inc.","Healthspring of Alabama, Inc.",66,43,80,60,90,62,65,66,74,60,38,94,15,60,50,66,24,36,61,88,90,74,93,85,88,1.08,79,76,12,Not available,0:07,83,86
H0151,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,60,44,80,60,90,59,59,66,76,56,40,92,13,58,47,72,24,36,55,86,89,72,86,83,84,1.46,83,71,6,Not available,0:54,76,76
H0154,Local CCP,UAB Health System,VIVA Medicare Plus,67,46,85,66,92,63,65,63,76,65,47,95,16,64,56,82,26,35,59,87,90,71,91,86,88,0.38,98,63,5,Not available,0:36,79,89
H0248,Local CCP,Humana Inc.,Humana Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,3.91,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,11,1:18,61,57
H0251,Local CCP,"UnitedHealth Group, Inc.",AmeriChoice Secure Plus Complete,53,37,87,31,91,57,61,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,41,92,Not enough data available to calculate measure,57,54,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,83,92,73,90,85,87,3.69,100,92,Not enough data available to calculate measure,Not available,0:29,79,64
H0302,Local CCP,Banner Health,Banner Health MediSun,82,65,89,59,93,73,82,65,81,88,47,97,27,68,60,80,27,40,50,85,87,75,89,83,89,0.18,97,95,3,Not available,0:20,67,88
H0303,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,69,59,89,53,91,67,74,69,79,77,46,94,20,68,65,77,31,32,53,81,88,71,85,81,82,1.31,95,87,7,Not available,1:04,75,69
H0307,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",52,46,86,36,89,59,65,62,79,68,43,90,17,61,55,61,33,31,54,83,91,74,85,83,85,0.91,75,58,6,11,1:15,63,58
H0316,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,65,41,86,52,86,61,66,66,80,76,43,91,18,63,57,84,30,35,49,80,88,70,80,82,79,2.83,91,93,13,Not available,0:51,75,69
H0317,Local CCP,Humana Inc.,Humana Insurance Company,57,Plan not required to report measure,88,48,89,60,62,Not enough data available to calculate measure,Not enough data available to calculate measure,78,47,92,Not enough data available to calculate measure,36,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,82,87,71,Not enough data available to calculate measure,82,81,1.75,86,Not enough data available to calculate measure,19,11,1:15,63,58
H0318,Local CCP,Aetna Inc.,Aetna Medicare,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,56,58,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,79,84,70,84,80,80,1.93,Not enough data available to calculate measure,Not enough data available to calculate measure,16,50,1:10,54,68
H0319,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,51,Plan not required to report measure,81,48,94,65,72,Not enough data available to calculate measure,Not enough data available to calculate measure,67,42,96,10,49,Plan not required to report measure,68,7,37,70,79,87,70,Not enough data available to calculate measure,81,80,2.11,88,83,Not enough data available to calculate measure,Not available,0:47,75,68
H0320,Local CCP,Arcadian Management Services Inc.,Desert Canyon Community Care,61,31,77,37,87,49,63,Not enough data available to calculate measure,Not enough data available to calculate measure,67,32,89,24,53,49,Not enough data available to calculate measure,24,27,44,80,85,69,91,80,81,2.09,Not enough data available to calculate measure,Not enough data available to calculate measure,11,16,0:46,80,38
H0321,Local CCP,"UnitedHealth Group, Inc.",APIPA Personal Care Plus,61,50,87,50,88,56,57,Not enough data available to calculate measure,Not enough data available to calculate measure,72,38,91,27,59,57,79,30,Not enough data available to calculate measure,57,80,86,72,82,83,83,1.19,100,Not enough data available to calculate measure,0,35,1:09,74,64
H0332,Local CCP,"KS Plan Administrators, LLC",KelseyCare Advantage,Not enough data available to calculate measure,Not enough data available to calculate measure,97,Not enough data available to calculate measure,93,76,78,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,98,Not enough data available to calculate measure,79,64,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,86,91,76,94,87,90,2.80,100,Not enough data available to calculate measure,4,Not available,0:35,87,89
H0346,National PACE,"PACE VERMONT, INC.","PACE Vermont, Inc",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0351,Local CCP,"Health Net, Inc.","Health Net of Arizona, Inc.",68,58,90,55,91,66,68,60,79,80,45,94,26,71,66,76,31,35,54,83,88,73,87,83,84,1.07,86,84,9,60,1:25,78,70
H0354,Local CCP,CIGNA,CIGNA Medicare Select,74,69,88,75,94,80,81,62,77,79,46,96,19,80,70,79,25,32,56,85,87,77,90,85,88,0.34,97,90,2,2,0:40,81,85
H0370,Local CCP,Coventry Health Care Inc.,Coventry Health and Life Insurance Company,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,2:10,73,37
H0401,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,11,Not available,0:49,76,71
H0408,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,0:52,77,68
H0410,Demo,"UnitedHealth Group, Inc.",Erickson Advantage,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0423,Local CCP,"MetroPlus Health Plan, Inc.",MetroPlus Health Plan,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,2.21,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,1:24,88,60
H0474,Local CCP,Essence LLP,Essence Healthcare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0490,Local CCP,"Molina Healthcare, Inc.,",Molina Healthcare of Ohio,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:45,81,34
H0496,PFFS,Summa Health System,SummaCare,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0502,1876 Cost,Contra Costa Health Services,Contra Costa Health Plan,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,81,81,71,73,64,49,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,32,64,75,89,67,87,82,85,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0504,Local CCP,Blue Shield of California,Blue Shield of California,70,58,91,59,87,68,68,67,76,68,46,92,9,79,69,64,21,37,58,81,90,74,87,85,84,1.02,91,77,7,17,1:31,80,62
H0523,Local CCP,Aetna Inc.,Aetna Medicare,68,59,89,49,84,70,75,69,81,65,44,93,21,75,68,82,15,36,57,82,89,72,87,83,85,1.64,92,93,9,50,1:16,54,66
H0524,Local CCP,"Kaiser Foundation Health Plan, Inc.",Kaiser Permanente Senior Advantage,89,77,96,70,85,77,81,66,78,71,51,95,54,87,80,77,22,38,50,85,91,78,90,86,88,0.43,90,81,2,27,1:00,80,67
H0532,Local CCP,Western Health Advantage,Western Health Advantage,81,70,91,63,87,78,81,67,73,71,52,97,Not enough data available to calculate measure,74,67,Not enough data available to calculate measure,30,43,56,85,90,78,86,86,88,0.35,Not enough data available to calculate measure,Not enough data available to calculate measure,6,13,0:42,80,80
H0540,PFFS,"Wellpoint, Inc.",Unicare Life & Health Ins. Company,65,Plan not required to report measure,78,63,77,67,67,Not enough data available to calculate measure,Not enough data available to calculate measure,71,43,86,21,52,Plan not required to report measure,85,29,36,49,86,90,76,87,85,82,6.51,54,54,17,24,2:29,Not enough data available to calculate measure,Not enough data available to calculate measure
H0542,National PACE,Altamed Health Services Corporation,AltaMed Senior BuenaCare,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0543,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,74,65,90,52,85,71,69,66,79,64,45,93,18,76,63,72,21,34,52,83,89,74,85,84,84,1.51,95,87,6,Not available,1:11,75,69
H0544,Local CCP,CareMore Medical Enterprises,CareMore Health Plan,70,56,88,65,91,74,63,62,76,63,52,96,20,72,0,63,16,37,62,82,87,70,90,83,88,0.90,100,94,6,Not available,0:20,84,88
H0545,Local CCP,InterValley Health Plan,Inter Valley Health Plan,65,57,90,66,85,69,67,64,81,69,45,92,18,68,67,74,15,30,59,83,87,71,91,82,88,0.30,100,80,7,25,1:01,82,83
H0562,Local CCP,"Health Net, Inc.",Health Net of CA,77,67,91,60,84,71,69,66,81,74,50,94,20,76,66,76,23,37,57,82,89,74,84,84,83,1.58,95,84,10,27,1:21,81,64
H0564,Local CCP,"Wellpoint, Inc.",Anthem Blue Cross,62,72,89,46,77,59,59,64,76,62,38,82,19,74,63,72,17,31,53,79,88,71,80,80,80,1.49,20,51,13,39,2:25,Not enough data available to calculate measure,Not enough data available to calculate measure
H0571,Local CCP,Chinese Hospital Association,Chinese Community Health Plan,66,55,89,65,87,75,30,71,79,56,46,96,22,70,70,26,13,29,60,73,81,63,83,76,79,0.01,91,90,2,25,0:29,85,80
H0602,1876 Cost,"Rocky Mountain Health Maintenance , Inc.",Rocky Mountain Health Plans,74,62,82,67,55,75,77,68,76,80,49,96,23,71,70,80,26,42,54,86,91,78,94,86,84,0.55,59,84,Not enough data available to calculate measure,7,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0609,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,66,66,88,59,89,80,80,66,80,76,48,95,23,71,65,75,33,39,54,85,89,78,86,84,83,1.47,96,87,3,Not available,1:07,75,73
H0613,National PACE,"Total Longterm Care, Inc.","Total Longterm Care, Inc.",Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,0.51,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0620,Local CCP,"UnitedHealth Group, Inc.",Evercare« by UnitedHealthcare,28,Plan not required to report measure,64,36,100,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,53,36,95,4,21,Plan not required to report measure,Not enough data available to calculate measure,0,31,83,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,0.45,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,0:52,76,70
